person1,person2,weight,relation_types,documents_count
Θεσμοφό,Τῦβι Θερμούθει,1,co_occurs_in_document,1
Θεσμοφό,Μεχεὶρ Θερμού,1,co_occurs_in_document,1
Θεσμοφό,Μεχείρ,1,co_occurs_in_document,1
Θεσμοφό,Μεχεὶρ,1,co_occurs_in_document,1
Θεσμοφό,Φαμενὼθ,1,co_occurs_in_document,1
Θεσμοφό,Φαρμοῦ,1,co_occurs_in_document,1
Θεσμοφό,Φαρμοῦθι,1,co_occurs_in_document,1
Θεσμοφό,Χοιάχ,1,co_occurs_in_document,1
Θεσμοφό,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Τῦβι Θερμούθει,Μεχεὶρ Θερμού,1,co_occurs_in_document,1
Τῦβι Θερμούθει,Μεχείρ,1,co_occurs_in_document,1
Τῦβι Θερμούθει,Μεχεὶρ,1,co_occurs_in_document,1
Τῦβι Θερμούθει,Φαμενὼθ,1,co_occurs_in_document,1
Τῦβι Θερμούθει,Φαρμοῦ,1,co_occurs_in_document,1
Τῦβι Θερμούθει,Φαρμοῦθι,1,co_occurs_in_document,1
Τῦβι Θερμούθει,Χοιάχ,1,co_occurs_in_document,1
Τῦβι Θερμούθει,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Μεχεὶρ Θερμού,Μεχείρ,1,co_occurs_in_document,1
Μεχεὶρ Θερμού,Μεχεὶρ,1,co_occurs_in_document,1
Μεχεὶρ Θερμού,Φαμενὼθ,1,co_occurs_in_document,1
Μεχεὶρ Θερμού,Φαρμοῦ,1,co_occurs_in_document,1
Μεχεὶρ Θερμού,Φαρμοῦθι,1,co_occurs_in_document,1
Μεχεὶρ Θερμού,Χοιάχ,1,co_occurs_in_document,1
Μεχεὶρ Θερμού,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Μεχείρ,Μεχεὶρ,1,co_occurs_in_document,1
Μεχείρ,Φαμενὼθ,1,co_occurs_in_document,1
Μεχείρ,Φαρμοῦ,1,co_occurs_in_document,1
Μεχείρ,Φαρμοῦθι,1,co_occurs_in_document,1
Μεχείρ,Χοιάχ,1,co_occurs_in_document,1
Μεχείρ,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Μεχεὶρ,Φαμενὼθ,4,co_occurs_in_document,4
Μεχεὶρ,Φαρμοῦ,1,co_occurs_in_document,1
Μεχεὶρ,Φαρμοῦθι,3,co_occurs_in_document,3
Μεχεὶρ,Χοιάχ,1,co_occurs_in_document,1
Μεχεὶρ,Φαμενώθ Θαήσει,1,co_occurs_in_document,1
Μεχεὶρ,Θεα Σαραπίωνος,1,co_occurs_in_document,1
Μεχεὶρ,Σαραπίωνος,1,co_occurs_in_document,1
Μεχεὶρ,Αὐρηλίῳ,1,co_occurs_in_document,1
Μεχεὶρ,Πρ,1,co_occurs_in_document,1
Μεχεὶρ,Σαραπίων,2,co_occurs_in_document,2
Μεχεὶρ,Αὐτοκράτορος Καίσαρος,4,co_occurs_in_document,4
Μεχεὶρ,Μάρκου Αὐρηλίου,2,co_occurs_in_document,2
Μεχεὶρ,Σεβαστοῦ,2,co_occurs_in_document,2
Μεχεὶρ,Λουκίου Αὐρηλίου,2,co_occurs_in_document,2
Μεχεὶρ,Οὐήρου Σεβαστοῦ,1,co_occurs_in_document,1
Μεχεὶρ,Πρειμ,1,co_occurs_in_document,1
Μεχεὶρ,Αὐρηλίου,1,co_occurs_in_document,1
